Pin Name,Pin Location (X),Pin Location (Y)
odat_deser16<5>,746.0685,1010.61
odat_deser0<5>,746.0685,1011.06
odat_deser16<4>,746.0685,1011.96
odat_deser0<4>,746.0685,1012.41
odat_deser16<3>,746.0685,1013.58
odat_deser0<3>,746.0685,1014.03
orstb_deser<0>,746.0685,1015.11
oclk_deser<0>,746.0685,1015.65
odat_deser16<2>,746.0685,1017.0
odat_deser0<2>,746.0685,1017.45
odat_deser16<1>,746.0685,1018.44
odat_deser0<1>,746.0685,1018.89
odat_deser16<0>,746.0685,1020.06
odat_deser0<0>,746.0685,1020.51
odat_deser8<0>,746.0685,1021.41
odat_deser24<0>,746.0685,1021.86
odat_deser8<1>,746.0685,1023.03
odat_deser24<1>,746.0685,1023.48
odat_deser8<2>,746.0685,1024.47
odat_deser24<2>,746.0685,1024.92
oclk_deser<8>,746.0685,1026.27
orstb_deser<8>,746.0685,1026.81
odat_deser8<3>,746.0685,1027.89
odat_deser24<3>,746.0685,1028.34
odat_deser8<4>,746.0685,1029.51
odat_deser24<4>,746.0685,1029.96
odat_deser8<5>,746.0685,1030.86
odat_deser24<5>,746.0685,1031.31
odat_deser28<5>,746.0685,1036.17
odat_deser12<5>,746.0685,1036.62
odat_deser28<4>,746.0685,1037.52
odat_deser12<4>,746.0685,1037.97
odat_deser28<3>,746.0685,1039.14
odat_deser12<3>,746.0685,1039.59
orstb_deser<12>,746.0685,1040.67
oclk_deser<12>,746.0685,1041.21
odat_deser28<2>,746.0685,1042.56
odat_deser12<2>,746.0685,1043.01
odat_deser28<1>,746.0685,1044.0
odat_deser12<1>,746.0685,1044.45
odat_deser28<0>,746.0685,1045.62
odat_deser12<0>,746.0685,1046.07
odat_deser4<0>,746.0685,1046.97
odat_deser20<0>,746.0685,1047.42
odat_deser4<1>,746.0685,1048.59
odat_deser20<1>,746.0685,1049.04
odat_deser4<2>,746.0685,1050.03
odat_deser20<2>,746.0685,1050.48
oclk_deser<4>,746.0685,1051.83
orstb_deser<4>,746.0685,1052.37
odat_deser4<3>,746.0685,1053.45
odat_deser20<3>,746.0685,1053.9
odat_deser4<4>,746.0685,1055.07
odat_deser20<4>,746.0685,1055.52
odat_deser4<5>,746.0685,1056.42
odat_deser20<5>,746.0685,1056.87
odat_deser29<5>,746.0685,1058.13
odat_deser13<5>,746.0685,1058.58
odat_deser29<4>,746.0685,1059.48
odat_deser13<4>,746.0685,1059.93
odat_deser29<3>,746.0685,1061.1
odat_deser13<3>,746.0685,1061.55
orstb_deser<13>,746.0685,1062.63
oclk_deser<13>,746.0685,1063.17
odat_deser29<2>,746.0685,1064.52
odat_deser13<2>,746.0685,1064.97
odat_deser29<1>,746.0685,1065.96
odat_deser13<1>,746.0685,1066.41
odat_deser29<0>,746.0685,1067.58
odat_deser13<0>,746.0685,1068.03
odat_deser5<0>,746.0685,1068.93
odat_deser21<0>,746.0685,1069.38
odat_deser5<1>,746.0685,1070.55
odat_deser21<1>,746.0685,1071.0
odat_deser5<2>,746.0685,1071.99
odat_deser21<2>,746.0685,1072.44
oclk_deser<5>,746.0685,1073.79
orstb_deser<5>,746.0685,1074.33
odat_deser5<3>,746.0685,1075.41
odat_deser21<3>,746.0685,1075.86
odat_deser5<4>,746.0685,1077.03
odat_deser21<4>,746.0685,1077.48
odat_deser5<5>,746.0685,1078.38
odat_deser21<5>,746.0685,1078.83
odat_deser25<5>,746.0685,1083.69
odat_deser9<5>,746.0685,1084.14
odat_deser25<4>,746.0685,1085.04
odat_deser9<4>,746.0685,1085.49
odat_deser25<3>,746.0685,1086.66
odat_deser9<3>,746.0685,1087.11
orstb_deser<9>,746.0685,1088.19
oclk_deser<9>,746.0685,1088.73
odat_deser25<2>,746.0685,1090.08
odat_deser9<2>,746.0685,1090.53
odat_deser25<1>,746.0685,1091.52
odat_deser9<1>,746.0685,1091.97
odat_deser25<0>,746.0685,1093.14
odat_deser9<0>,746.0685,1093.59
odat_deser1<0>,746.0685,1094.49
odat_deser17<0>,746.0685,1094.94
odat_deser1<1>,746.0685,1096.11
odat_deser17<1>,746.0685,1096.56
odat_deser1<2>,746.0685,1097.55
odat_deser17<2>,746.0685,1098.0
oclk_deser<1>,746.0685,1099.35
orstb_deser<1>,746.0685,1099.89
odat_deser1<3>,746.0685,1100.97
odat_deser17<3>,746.0685,1101.42
odat_deser1<4>,746.0685,1102.59
odat_deser17<4>,746.0685,1103.04
odat_deser1<5>,746.0685,1103.94
odat_deser17<5>,746.0685,1104.39
odat_deser31<5>,746.0685,1105.65
odat_deser15<5>,746.0685,1106.1
odat_deser31<4>,746.0685,1107.0
odat_deser15<4>,746.0685,1107.45
odat_deser31<3>,746.0685,1108.62
odat_deser15<3>,746.0685,1109.07
orstb_deser<15>,746.0685,1110.15
oclk_deser<15>,746.0685,1110.69
odat_deser31<2>,746.0685,1112.04
odat_deser15<2>,746.0685,1112.49
odat_deser31<1>,746.0685,1113.48
odat_deser15<1>,746.0685,1113.93
odat_deser31<0>,746.0685,1115.1
odat_deser15<0>,746.0685,1115.55
odat_deser7<0>,746.0685,1116.45
odat_deser23<0>,746.0685,1116.9
odat_deser7<1>,746.0685,1118.07
odat_deser23<1>,746.0685,1118.52
odat_deser7<2>,746.0685,1119.51
odat_deser23<2>,746.0685,1119.96
oclk_deser<7>,746.0685,1121.31
orstb_deser<7>,746.0685,1121.85
odat_deser7<3>,746.0685,1122.93
odat_deser23<3>,746.0685,1123.38
odat_deser7<4>,746.0685,1124.55
odat_deser23<4>,746.0685,1125.0
odat_deser7<5>,746.0685,1125.9
odat_deser23<5>,746.0685,1126.35
odat_deser27<5>,746.0685,1131.21
odat_deser11<5>,746.0685,1131.66
odat_deser27<4>,746.0685,1132.56
odat_deser11<4>,746.0685,1133.01
odat_deser27<3>,746.0685,1134.18
odat_deser11<3>,746.0685,1134.63
orstb_deser<11>,746.0685,1135.71
oclk_deser<11>,746.0685,1136.25
odat_deser27<2>,746.0685,1137.6
odat_deser11<2>,746.0685,1138.05
odat_deser27<1>,746.0685,1139.04
odat_deser11<1>,746.0685,1139.49
odat_deser27<0>,746.0685,1140.66
odat_deser11<0>,746.0685,1141.11
odat_deser3<0>,746.0685,1142.01
odat_deser19<0>,746.0685,1142.46
odat_deser3<1>,746.0685,1143.63
odat_deser19<1>,746.0685,1144.08
odat_deser3<2>,746.0685,1145.07
odat_deser19<2>,746.0685,1145.52
oclk_deser<3>,746.0685,1146.87
orstb_deser<3>,746.0685,1147.41
odat_deser3<3>,746.0685,1148.49
odat_deser19<3>,746.0685,1148.94
odat_deser3<4>,746.0685,1150.11
odat_deser19<4>,746.0685,1150.56
odat_deser3<5>,746.0685,1151.46
odat_deser19<5>,746.0685,1151.91
odat_deser30<5>,746.0685,1153.17
odat_deser14<5>,746.0685,1153.62
odat_deser30<4>,746.0685,1154.52
odat_deser14<4>,746.0685,1154.97
odat_deser30<3>,746.0685,1156.14
odat_deser14<3>,746.0685,1156.59
orstb_deser<14>,746.0685,1157.67
oclk_deser<14>,746.0685,1158.21
odat_deser30<2>,746.0685,1159.56
odat_deser14<2>,746.0685,1160.01
odat_deser30<1>,746.0685,1161.0
odat_deser14<1>,746.0685,1161.45
odat_deser30<0>,746.0685,1162.62
odat_deser14<0>,746.0685,1163.07
odat_deser6<0>,746.0685,1163.97
odat_deser22<0>,746.0685,1164.42
odat_deser6<1>,746.0685,1165.59
odat_deser22<1>,746.0685,1166.04
odat_deser6<2>,746.0685,1167.03
odat_deser22<2>,746.0685,1167.48
oclk_deser<6>,746.0685,1168.83
orstb_deser<6>,746.0685,1169.37
odat_deser6<3>,746.0685,1170.45
odat_deser22<3>,746.0685,1170.9
odat_deser6<4>,746.0685,1172.07
odat_deser22<4>,746.0685,1172.52
odat_deser6<5>,746.0685,1173.42
odat_deser22<5>,746.0685,1173.87
odat_deser26<5>,746.0685,1178.73
odat_deser10<5>,746.0685,1179.18
odat_deser26<4>,746.0685,1180.08
odat_deser10<4>,746.0685,1180.53
odat_deser26<3>,746.0685,1181.7
odat_deser10<3>,746.0685,1182.15
orstb_deser<10>,746.0685,1183.23
oclk_deser<10>,746.0685,1183.77
odat_deser26<2>,746.0685,1185.12
odat_deser10<2>,746.0685,1185.57
odat_deser26<1>,746.0685,1186.56
odat_deser10<1>,746.0685,1187.01
odat_deser26<0>,746.0685,1188.18
odat_deser10<0>,746.0685,1188.63
odat_deser2<0>,746.0685,1189.53
odat_deser18<0>,746.0685,1189.98
odat_deser2<1>,746.0685,1191.15
odat_deser18<1>,746.0685,1191.6
odat_deser2<2>,746.0685,1192.59
odat_deser18<2>,746.0685,1193.04
oclk_deser<2>,746.0685,1194.39
orstb_deser<2>,746.0685,1194.93
odat_deser2<3>,746.0685,1196.01
odat_deser18<3>,746.0685,1196.46
odat_deser2<4>,746.0685,1197.63
odat_deser18<4>,746.0685,1198.08
odat_deser2<5>,746.0685,1198.98
odat_deser18<5>,746.0685,1199.43
